ID,1a,1b,1c,1d,1e,1f,2a,2b,2c,2d,2e,2f,3a,3b,3c,3d,3e,3f,4a,4b,4c,4d,4e,4f,5a,5b,5c,5d,5e,5f,6a,6b,6c,6d,6e,6f
1,1,0,4,4,4,2,1,0,4,4,4,2,4,2,2,3,1,2,2,3,4,1,0,0,1,1,2,1,0,1,2,1,0,0,0,1
2,2,2,1,2,2,1,2,2,1,2,2,1,2,1,2,1,2,2,3,2,2,3,1,0,0,0,0,1,0,0,2,0,0,0,0,0
3,2,2,3,3,3,2,2,2,3,3,3,2,2,1,1,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,2,4,3,4,4,2,2,4,3,4,4,3,2,2,2,3,2,3,3,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2
5,3,2,4,4,4,3,3,2,4,4,4,3,3,1,1,0,3,2,2,3,2,3,1,1,2,1,1,2,2,1,1,0,2,1,2,2
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4,,,,,,4,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,0,2,2,3,1,3,0,1,1,0,1
8,2,1,2,3,2,2,2,1,2,3,2,2,3,3,3,1,3,1,1,3,3,3,1,1,0,0,0,0,1,0,0,3,2,0,0,3
9,4,4,3,4,3,3,4,4,3,4,3,3,4,4,4,4,3,3,4,4,4,4,3,4,2,3,4,3,1,2,4,4,2,4,4,4
10,2,2,3,2,3,2,2,2,3,2,3,2,1,3,1,1,1,1,1,1,3,1,1,1,0,0,3,0,1,1,1,1,0,0,1,1
11,3,4,4,4,4,1,3,4,4,4,4,1,4,4,0,0,4,3,3,4,4,4,4,4,4,2,4,4,4,4,3,0,0,1,3,0
12,4,3,4,4,4,2,4,3,4,4,4,2,1,3,1,1,0,2,4,2,4,3,1,0,1,1,3,0,1,0,4,0,0,0,3,3
13,1,0,3,3,3,2,1,0,3,3,3,2,2,2,2,2,1,2,2,1,4,1,1,1,0,0,1,0,0,0,2,0,0,0,2,3
14,3,1,4,4,4,3,3,1,4,4,4,3,4,4,1,2,1,3,3,4,1,3,3,0,1,1,4,4,1,1,1,1,0,0,1,1
